id;target;relationship;date
2023.00002;Appellate Division, Third Department;heardAt;January 5, 2023
2023.00002;182 AD3d 794;cites;January 5, 2023
2023.00002;35 NY3d 1064;cites;January 5, 2023
2023.00002;169 AD3d 1157;cites;January 5, 2023
2023.00002;210 AD3d 1297;cites;January 5, 2023
2023.00002;93 AD3d 1072;cites;January 5, 2023
2023.00002;36 AD3d 1151;cites;January 5, 2023
2023.00002;8 NY3d 946;cites;January 5, 2023
2023.00002;171 AD3d 1542;cites;January 5, 2023
2023.00002;34 NY3d 931;cites;January 5, 2023
2023.00002;200 AD3d 1340;cites;January 5, 2023
2023.00002;38 NY3d 1180;cites;January 5, 2023
2023.00002;173 AD3d 1436;cites;January 5, 2023
2023.00002;34 NY3d 954;cites;January 5, 2023
2023.00002;146 AD3d 1086;cites;January 5, 2023
2023.00002;29 NY3d 1087;cites;January 5, 2023
2023.00002;201 AD3d 1126;cites;January 5, 2023
2023.00002;38 NY3d 1035;cites;January 5, 2023
2023.00002;191 AD3d 1160;cites;January 5, 2023
2023.00002;37 NY3d 968;cites;January 5, 2023
2023.00002;175 AD3d 1598;cites;January 5, 2023
2023.00002;35 NY3d 1070;cites;January 5, 2023
2023.00002;168 NY 264;cites;January 5, 2023
2023.00002;202 AD3d 1203;cites;January 5, 2023
2023.00002;38 NY3d 1034;cites;January 5, 2023
2023.00002;194 AD3d 1189;cites;January 5, 2023
2023.00002;37 NY3d 972;cites;January 5, 2023
2023.00002;112 AD3d 1071;cites;January 5, 2023
2023.00002;22 NY3d 1140;cites;January 5, 2023
2023.00002;204 AD3d 1083;cites;January 5, 2023
2023.00002;38 NY3d 1072;cites;January 5, 2023
2023.00002;198 AD3d 1018;cites;January 5, 2023
2023.00002;37 NY3d 1160;cites;January 5, 2023
2023.00002;29 NY3d 364;cites;January 5, 2023
2023.00002;190 AD3d 1087;cites;January 5, 2023
2023.00002;36 NY3d 1102;cites;January 5, 2023
2023.00002;7 NY3d 421;cites;January 5, 2023
2023.00002;161 AD3d 1191;cites;January 5, 2023
2023.00002;32 NY3d 937;cites;January 5, 2023
2023.00002;50 AD3d 919;cites;January 5, 2023
2023.00002;10 NY3d 933;cites;January 5, 2023
2023.00002;34 NY2d 371;cites;January 5, 2023
2023.00002;137 AD3d 1476;cites;January 5, 2023
2023.00002;203 AD3d 1228;cites;January 5, 2023
2023.00002;38 NY3d 1032;cites;January 5, 2023
2023.00002;177 AD3d 1096;cites;January 5, 2023
2023.00002;34 NY3d 1015;cites;January 5, 2023
2023.00002;136 AD3d 1390;cites;January 5, 2023
2023.00002;27 NY3d 1140;cites;January 5, 2023
2023.00002;100 AD3d 1045;cites;January 5, 2023
2023.00002;22 NY3d 998;cites;January 5, 2023
2023.00002;207 AD3d 861;cites;January 5, 2023
2023.00002;38 NY3d 1186;cites;January 5, 2023
2023.00002;39 NY3d 939;cites;January 5, 2023
2023.00002;44 AD3d 870;cites;January 5, 2023
2023.00002;9 NY3d 1033;cites;January 5, 2023
2023.00002;309 AD2d 966;cites;January 5, 2023
2023.00002;1 NY3d 596;cites;January 5, 2023
2023.00002;307 AD2d 528;cites;January 5, 2023
2023.00002;100 NY2d 643;cites;January 5, 2023
2023.00002;205 AD3d 1134;cites;January 5, 2023
2023.00002;199 AD3d 1165;cites;January 5, 2023
2023.00002;Whether defendant's convictions are supported by legally sufficient evidence;addresses;January 5, 2023
2023.00002;Whether defendant's convictions are against the weight of the evidence;addresses;January 5, 2023
2023.00002;Whether the evidence was sufficient to establish that the defendant knowingly and unlawfully sold a controlled substance (methamphetamine) as required by Penal Law § 220.31;addresses;January 5, 2023
2023.00002;Whether the testimony of a confidential informant (CI) regarding drug transactions is admissible and reliable.;addresses;January 5, 2023
2023.00002;Whether the forensic testing procedures for identifying methamphetamine are valid and reliable.;addresses;January 5, 2023
2023.00002;Whether the convictions are against the weight of the evidence;addresses;January 5, 2023
2023.00002;Whether doubts about the accuracy of forensic scientists' testing raise a fatal defect in substance identification;addresses;January 5, 2023
2023.00002;Whether the CI's credibility is undermined by inconsistencies in the evidence;addresses;January 5, 2023
2023.00002;Whether there was a defect in the identification of substances as methamphetamine by forensic scientists;addresses;January 5, 2023
2023.00002;Whether the evidence corroborating the CI's testimony was substantial enough for counts 1 and 2;addresses;January 5, 2023
2023.00002;Whether a different verdict would have been reasonable for count 3 based on the CI's account of the February 2016 controlled buy;addresses;January 5, 2023
2023.00002;Whether the manner in which the CI and his wife were searched prior to the controlled buy revealed deficiencies;addresses;January 5, 2023
2023.00002;Whether introducing excerpts of recordings of defendant’s jail calls was improper under Molineux principles;addresses;January 5, 2023
2023.00002;Whether the verdict on count 3 is against the weight of the evidence;addresses;January 5, 2023
2023.00002;Whether County Court improperly permitted the People to introduce excerpts of certain recordings of telephone calls;addresses;January 5, 2023
2023.00002;Whether evidence of prior methamphetamine-related activities is admissible under Molineux exceptions;addresses;January 5, 2023
2023.00002;Whether discussions on recordings about unrelated criminal charges are admissible under Molineux;addresses;January 5, 2023
2023.00002;Whether a limiting instruction provided during final jury instructions adequately minimizes prejudice from admitted evidence;addresses;January 5, 2023
2023.00002;Whether County Court's Sandoval ruling deprived defendant of his constitutional right to a fair trial due to failure to raise any constitutional objections before the court.;addresses;January 5, 2023
2023.00002;Whether County Court's decision to allow cross-examination regarding prior convictions was an abuse of discretion.;addresses;January 5, 2023
2023.00002;Whether County Court's disallowance of certain questions on cross-examination of the CI's wife deprived defendant of his right to confront his accuser.;addresses;January 5, 2023
2023.00002;Whether County Court's Sandoval determination was an abuse of discretion;addresses;January 5, 2023
2023.00002;Whether County Court deprived defendant of his right to confront his accuser by disallowing certain questions on cross-examination;addresses;January 5, 2023
2023.00002;Whether the trial court abused its discretion in foreclosing defense counsel's attempt to impeach a confidential informant (CI) through collateral testimony about alleged abuse against the CI's wife.;addresses;January 5, 2023
2023.00002;Whether defendant's contention that his sentence is harsh and excessive remains a live issue for appeal.;addresses;January 5, 2023
2023.00002;Did the County Court err in allowing recordings of conversations between the defendant and his paramour and unrelated criminal charges faced by a friend to be introduced at trial?;addresses;January 5, 2023
2023.00002;Did the County Court's Sandoval ruling deprive the defendant of his constitutional right to a fair trial?;addresses;January 5, 2023
2023.00002;Did the court abuse its discretion in allowing 'mention' of the defendant's prior convictions during cross-examination?;addresses;January 5, 2023
2023.00002;Did the County Court err in disallowing certain questions on cross-examination of the CI's wife?;addresses;January 5, 2023
2023.00002;Was the defendant's sentence harsh and excessive?;addresses;January 5, 2023
2023.00002;The court affirms the convictions as supported by legally sufficient evidence.;announces;January 5, 2023
2023.00002;The court affirms the convictions, finding that they are not against the weight of the evidence.;announces;January 5, 2023
2023.00002;The court held that the testimony of State Trooper Thomas Tryon, corroborated by the recording from the confidential informant's device, sufficiently established that the defendant knowingly and unlawfully sold methamphetamine to the CI.;announces;January 5, 2023
2023.00002;The court finds the CI's testimony credible and consistent with corroborative evidence, including the testimony of the CI's wife and state trooper Amanda Giles, as well as forensic testing results.;announces;January 5, 2023
2023.00002;The court accepts the forensic scientists' testimony regarding their methods and findings, confirming that the substances tested were indeed methamphetamine.;announces;January 5, 2023
2023.00002;The court finds that defendant's convictions are not against the weight of the evidence.;announces;January 5, 2023
2023.00002;Defendant's challenge to the credibility of the forensic scientists' conclusions does not establish a fatal defect, as these issues were fully explored on cross-examination and the jury had an opportunity to evaluate their testimony.;announces;January 5, 2023
2023.00002;The court finds that substantial corroborating evidence, including recordings and witness testimonies, supports the CI's testimony, making a different verdict unreasonable.;announces;January 5, 2023
2023.00002;The court held that issues regarding the credibility of forensic scientists were fully explored on cross-examination and the jury had an opportunity to evaluate their testimony.;announces;January 5, 2023
2023.00002;The court found that a different verdict as to counts 1 and 2 would be unreasonable, given the overwhelming evidence of defendant's guilt.;announces;January 5, 2023
2023.00002;The court found that while a different verdict could have been possible, the jury had an opportunity to consider evidence and assess credibility.;announces;January 5, 2023
2023.00002;The court held that the jury had an opportunity to consider this evidence as part of its overall assessment, giving appropriate deference to the jury's credibility determinations.;announces;January 5, 2023
2023.00002;The court did not provide a definitive holding on this issue but noted that evidence of uncharged crimes or prior bad acts may be admitted if it falls within recognized exceptions.;announces;January 5, 2023
2023.00002;The verdict on count 3 is not against the weight of the evidence, given deference to the jury's credibility determinations and viewing the evidence in a neutral light.;announces;January 5, 2023
2023.00002;The court properly admitted the recordings as they satisfied several Molineux exceptions, were interwoven with the charged crimes, relevant and material to issues of intent, absence of mistake, and defendant's ability to commit the crimes. The probative value outweighed potential prejudice.;announces;January 5, 2023
2023.00002;The evidence was admissible as it was inextricably interwoven with the charged crimes and relevant to issues of intent to sell, absence of mistake, and defendant's ability to commit the crime.;announces;January 5, 2023
2023.00002;The substance of those discussions falls outside the scope of Molineux and is inadmissible.;announces;January 5, 2023
2023.00002;The limiting instruction provided during final jury instructions properly emphasized the limited purposes for which such evidence could be considered, thereby minimizing any resulting prejudice.;announces;January 5, 2023
2023.00002;The contention is unpreserved because defendant failed to raise any constitutional objections before the court.;announces;January 5, 2023
2023.00002;The ruling may have been an abuse of discretion, but it would be subject to a nonconstitutional harmless error standard. Given the overwhelming evidence of guilt and no significant probability that defendant would have been acquitted due to the error, the court's Sandoval determination was harmless.;announces;January 5, 2023
2023.00002;The contention lacks merit because although a criminal defendant has the right to confront adverse witnesses through cross-examination, this right is not unlimited.;announces;January 5, 2023
2023.00002;The court's Sandoval determination was harmless because the evidence of defendant's guilt is overwhelming and there is no significant probability that defendant would have been acquitted but for the error.;announces;January 5, 2023
2023.00002;The court did not abuse its discretion in limiting the scope of cross-examination when the questions were irrelevant or only marginally relevant, concern collateral issues, or pose a danger of misleading the jury.;announces;January 5, 2023
2023.00002;No, the decision was not an abuse of discretion as counsel did not directly impeach the CI on this point during cross-examination.;announces;January 5, 2023
2023.00002;No, the contention has been rendered moot because the defendant has completed his sentence and was discharged from parole.;announces;January 5, 2023
