id;category;node_date;label_text
2023.00002;Case;January 5, 2023;2023.00002
Appellate Division, Third Department;Court;;Appellate Division, Third Department
182 AD3d 794;ReporterCitation;;182 AD3d 794
35 NY3d 1064;ReporterCitation;;35 NY3d 1064
169 AD3d 1157;ReporterCitation;;169 AD3d 1157
210 AD3d 1297;ReporterCitation;;210 AD3d 1297
93 AD3d 1072;ReporterCitation;;93 AD3d 1072
36 AD3d 1151;ReporterCitation;;36 AD3d 1151
8 NY3d 946;ReporterCitation;;8 NY3d 946
171 AD3d 1542;ReporterCitation;;171 AD3d 1542
34 NY3d 931;ReporterCitation;;34 NY3d 931
200 AD3d 1340;ReporterCitation;;200 AD3d 1340
38 NY3d 1180;ReporterCitation;;38 NY3d 1180
173 AD3d 1436;ReporterCitation;;173 AD3d 1436
34 NY3d 954;ReporterCitation;;34 NY3d 954
146 AD3d 1086;ReporterCitation;;146 AD3d 1086
29 NY3d 1087;ReporterCitation;;29 NY3d 1087
201 AD3d 1126;ReporterCitation;;201 AD3d 1126
38 NY3d 1035;ReporterCitation;;38 NY3d 1035
191 AD3d 1160;ReporterCitation;;191 AD3d 1160
37 NY3d 968;ReporterCitation;;37 NY3d 968
175 AD3d 1598;ReporterCitation;;175 AD3d 1598
35 NY3d 1070;ReporterCitation;;35 NY3d 1070
168 NY 264;ReporterCitation;;168 NY 264
202 AD3d 1203;ReporterCitation;;202 AD3d 1203
38 NY3d 1034;ReporterCitation;;38 NY3d 1034
194 AD3d 1189;ReporterCitation;;194 AD3d 1189
37 NY3d 972;ReporterCitation;;37 NY3d 972
112 AD3d 1071;ReporterCitation;;112 AD3d 1071
22 NY3d 1140;ReporterCitation;;22 NY3d 1140
204 AD3d 1083;ReporterCitation;;204 AD3d 1083
38 NY3d 1072;ReporterCitation;;38 NY3d 1072
198 AD3d 1018;ReporterCitation;;198 AD3d 1018
37 NY3d 1160;ReporterCitation;;37 NY3d 1160
29 NY3d 364;ReporterCitation;;29 NY3d 364
190 AD3d 1087;ReporterCitation;;190 AD3d 1087
36 NY3d 1102;ReporterCitation;;36 NY3d 1102
7 NY3d 421;ReporterCitation;;7 NY3d 421
161 AD3d 1191;ReporterCitation;;161 AD3d 1191
32 NY3d 937;ReporterCitation;;32 NY3d 937
50 AD3d 919;ReporterCitation;;50 AD3d 919
10 NY3d 933;ReporterCitation;;10 NY3d 933
34 NY2d 371;ReporterCitation;;34 NY2d 371
137 AD3d 1476;ReporterCitation;;137 AD3d 1476
203 AD3d 1228;ReporterCitation;;203 AD3d 1228
38 NY3d 1032;ReporterCitation;;38 NY3d 1032
177 AD3d 1096;ReporterCitation;;177 AD3d 1096
34 NY3d 1015;ReporterCitation;;34 NY3d 1015
136 AD3d 1390;ReporterCitation;;136 AD3d 1390
27 NY3d 1140;ReporterCitation;;27 NY3d 1140
100 AD3d 1045;ReporterCitation;;100 AD3d 1045
22 NY3d 998;ReporterCitation;;22 NY3d 998
207 AD3d 861;ReporterCitation;;207 AD3d 861
38 NY3d 1186;ReporterCitation;;38 NY3d 1186
39 NY3d 939;ReporterCitation;;39 NY3d 939
44 AD3d 870;ReporterCitation;;44 AD3d 870
9 NY3d 1033;ReporterCitation;;9 NY3d 1033
309 AD2d 966;ReporterCitation;;309 AD2d 966
1 NY3d 596;ReporterCitation;;1 NY3d 596
307 AD2d 528;ReporterCitation;;307 AD2d 528
100 NY2d 643;ReporterCitation;;100 NY2d 643
205 AD3d 1134;ReporterCitation;;205 AD3d 1134
199 AD3d 1165;ReporterCitation;;199 AD3d 1165
Whether defendant's convictions are supported by legally sufficient evidence;Issue;;Whether defendant's convictions are supported by legally sufficient evidence
Whether defendant's convictions are against the weight of the evidence;Issue;;Whether defendant's convictions are against the weight of the evidence
Whether the evidence was sufficient to establish that the defendant knowingly and unlawfully sold a controlled substance (methamphetamine) as required by Penal Law § 220.31;Issue;;Whether the evidence was sufficient to establish that the defendant knowingly and unlawfully sold a controlled substance (methamphetamine) as required by Penal Law § 220.31
Whether the testimony of a confidential informant (CI) regarding drug transactions is admissible and reliable.;Issue;;Whether the testimony of a confidential informant (CI) regarding drug transactions is admissible and reliable.
Whether the forensic testing procedures for identifying methamphetamine are valid and reliable.;Issue;;Whether the forensic testing procedures for identifying methamphetamine are valid and reliable.
Whether the convictions are against the weight of the evidence;Issue;;Whether the convictions are against the weight of the evidence
Whether doubts about the accuracy of forensic scientists' testing raise a fatal defect in substance identification;Issue;;Whether doubts about the accuracy of forensic scientists' testing raise a fatal defect in substance identification
Whether the CI's credibility is undermined by inconsistencies in the evidence;Issue;;Whether the CI's credibility is undermined by inconsistencies in the evidence
